class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
1.00,17523.20,1.00,5.00,11.00,66.92,70.89,37.48,1.76,234.80,1262.04,4437.60,97.92,112.86,4.00,21.34,0.92,37.00,0.80,0.82,83.09,99.61,1.03
1.00,17523.20,1.00,9.00,19.00,70.70,162.04,94.82,0.64,669.22,1669.49,4534.63,181.13,217.88,5.00,35.22,0.92,144.00,0.53,0.89,75.76,61.78,1.03
1.00,17523.20,1.00,1.00,3.00,55.94,17.73,10.09,3.19,80.37,1118.42,4423.15,57.86,62.63,0.00,26.78,0.97,19.00,1.00,0.00,0.00,0.00,1.02
1.00,17523.20,1.00,3.00,7.00,18.95,88.54,10.31,3.94,132.10,1706.84,4860.06,80.19,85.20,2.00,18.87,0.97,22.00,0.67,0.61,58.73,60.91,1.02
1.00,54617.40,1.00,3.00,7.00,58.52,49.60,29.73,3.13,189.07,2856.45,14076.30,75.55,88.39,2.00,27.00,0.93,38.00,0.67,1.36,58.96,45.25,1.03
1.00,54617.40,1.00,6.00,13.00,90.96,102.84,52.91,1.63,461.90,3420.44,14297.30,115.40,149.58,3.00,35.53,0.92,92.00,0.50,0.98,54.90,56.32,1.04
1.00,54617.40,1.00,2.00,5.00,89.04,31.85,3.24,8.71,138.99,3901.66,16358.20,91.07,92.24,1.00,27.79,0.99,15.00,0.50,1.35,42.46,25.68,1.00
1.00,12564.70,1.00,1.00,3.00,49.73,88.22,39.59,1.53,142.13,894.44,3150.28,110.78,126.26,0.00,47.37,0.96,37.00,1.00,0.00,0.00,0.00,1.03
1.00,12564.70,1.00,12.00,25.00,118.46,136.17,88.57,0.45,992.12,1797.23,3348.22,151.19,182.05,6.00,39.68,0.89,297.00,0.50,0.90,52.78,51.23,1.04
1.00,12564.70,1.00,5.00,11.00,102.91,79.48,66.36,0.59,440.98,1249.10,3253.48,127.51,173.01,3.00,40.08,0.86,146.00,0.47,0.63,72.21,77.29,1.06
1.00,12564.70,1.00,7.00,15.00,98.29,237.58,52.91,0.57,699.03,1956.73,3633.46,145.34,199.02,4.00,46.60,0.89,212.00,0.42,0.74,64.22,59.49,1.04
1.00,19885.10,1.00,3.00,7.00,111.64,51.40,34.13,1.06,258.40,1439.61,5082.53,122.94,164.30,2.00,36.91,0.90,75.00,0.67,1.00,84.98,61.60,1.05
1.00,19885.10,1.00,1.00,3.00,12.51,18.50,5.58,8.80,34.82,1153.45,5001.30,15.74,16.32,0.00,11.60,0.98,7.00,1.00,0.00,0.00,0.00,1.02
1.00,19885.10,1.00,3.00,7.00,93.17,113.73,100.25,0.80,346.72,1331.68,4996.50,120.51,157.09,2.00,49.53,0.87,95.00,0.67,0.63,30.89,93.92,1.06
1.00,19885.10,1.00,3.00,7.00,70.91,172.94,53.26,0.77,436.53,1552.00,5073.41,188.87,254.15,2.00,62.35,0.86,123.00,0.67,1.00,55.85,44.06,1.04
1.00,19885.10,1.00,1.00,3.00,51.51,57.32,30.40,1.94,108.80,1123.21,4973.33,77.16,90.31,0.00,36.26,0.95,31.00,1.00,0.00,0.00,0.00,1.02
1.00,19885.10,1.00,1.00,3.00,53.83,69.11,39.65,6.21,136.85,2569.81,6716.44,87.60,118.35,0.00,45.61,0.91,18.00,1.00,0.00,0.00,0.00,1.05
1.00,5767.45,1.00,2.00,5.00,63.12,94.60,30.73,1.08,168.98,585.07,1450.58,108.74,132.44,1.00,33.79,0.93,41.00,0.50,0.00,69.53,51.79,1.03
1.00,5767.45,1.00,2.00,5.00,75.11,142.79,32.44,0.60,349.19,738.76,1486.09,161.08,192.09,1.00,69.84,0.92,95.00,0.50,0.00,50.53,28.13,1.03
1.00,5767.45,1.00,7.00,15.00,59.80,136.97,39.88,0.62,442.44,951.93,1569.67,137.62,179.79,4.00,29.49,0.93,113.00,0.42,0.81,66.48,59.33,1.05
1.00,18970.50,1.00,2.00,5.00,54.15,101.03,66.59,1.94,197.12,1214.96,4759.68,131.51,160.76,1.00,39.42,0.94,32.00,0.50,1.00,48.60,36.68,1.03
1.00,18970.50,1.00,3.00,7.00,72.42,161.86,57.85,0.99,378.23,1371.08,4777.42,178.00,212.89,2.00,54.03,0.92,72.00,0.67,0.00,52.06,44.79,1.04
1.00,18970.50,1.00,9.00,19.00,145.62,127.29,58.65,0.52,839.96,1691.02,4813.77,161.29,191.94,4.00,44.20,0.91,174.00,0.49,1.05,75.41,54.63,1.03
1.00,18970.50,1.00,5.00,11.00,138.78,138.12,54.27,1.25,460.30,2553.69,6125.52,146.51,216.42,4.00,41.84,0.92,104.00,0.80,0.81,66.06,64.29,1.04
1.00,9619.29,1.00,5.00,11.00,104.79,98.89,81.85,0.64,421.28,991.69,2439.67,149.47,172.85,4.00,38.29,0.91,104.00,0.80,0.85,57.13,37.36,1.03
