class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
1.00,5206.71,7.00,26.00,59.00,176.68,595.4,167.36,0.581194,3608.01,6827.47,2441.47,637.768,667.148,14.00,61.1471,0.87697,2973.00,0.649038,2.66667,80.0337,79.1984,1.03641
1.00,2341.62,9.00,15.00,39.00,243.78,277.48,67.72,0.45375,2599.68,3895.4,1110.17,226.516,344.362,6.00,66.6538,0.867708,2206.00,0.6,2.395,87.1245,87.0988,1.04104
1.00,3421.59,8.00,22.00,52.00,194.18,505.19,47.39,0.615183,2638.38,5263.01,1684.02,487.944,554.133,11.00,50.7338,0.875848,2240.00,0.542208,1.936,79.4557,77.1277,1.03783
1.00,7851.57,4.00,18.00,40.00,378.58,436.88,62.4,0.578094,2981.37,5911.43,2991.49,356.002,451.815,9.00,74.529,0.891064,2570.00,0.61859,1.715,70.1209,65.8072,1.03372
1.00,5905.94,9.00,13.00,35.00,302.28,460.17,72.39,0.476837,3358.37,5381.97,2167.75,368.706,456.749,4.00,95.948,0.898601,2859.00,0.241758,1.21687,66.5947,77.3439,1.02531
1.00,5582.98,5.00,22.00,49.00,270.7,359.13,58.43,0.541488,3648.62,6517.9,2363.31,373.658,443.139,6.00,74.4565,0.892572,3154.00,0.502165,1.8775,76.9226,83.1317,1.03026
1.00,6695.96,6.00,21.00,48.00,220.5,322.47,95.00,0.535591,2966.82,5394.61,2559.87,294.069,389.694,7.00,61.804,0.864139,2361.00,0.420635,2.3885,81.555,75.4203,1.04217
1.00,7510.75,7.00,25.00,57.00,214.23,496.47,117.09,0.620119,3337.93,6890.63,3155.66,440.873,514.414,12.00,58.5551,0.902132,2759.00,0.482838,2.07611,80.5233,68.8334,1.02943
1.00,3704.06,7.00,34.00,75.00,192.25,322.6,26.64,0.451245,2905.25,4374.07,1493.21,293.735,320.448,6.00,38.7315,0.916082,2520.00,0.418627,2.19917,67.3587,58.4187,1.02389
1.00,3029.87,7.00,38.00,83.00,152.74,524.94,58.72,0.552214,3550.98,6299.09,1752.63,436.175,468.593,8.00,42.7777,0.920941,2923.00,0.471525,1.994,69.5515,62.0013,1.02187
1.00,2779.66,7.00,30.00,67.00,212.36,519.99,55.7,0.540262,3413.02,6018.24,1631.66,438.669,489.225,6.00,50.9352,0.918989,2961.00,0.281667,2.01267,65.4316,60.6715,1.02372
1.00,3374.35,11.00,30.00,71.00,209.72,498.24,60.57,0.507327,3312.68,5524.69,1632.13,418.458,447.814,8.00,46.652,0.914713,2763.00,0.430101,2.00167,69.4239,58.251,1.02692
1.00,2671.19,7.00,30.00,67.00,163.76,441.09,78.92,0.456377,3196.86,4780.32,1333.85,375.405,417.691,8.00,47.7099,0.921868,2664.00,0.392183,1.70333,74.2062,68.7913,1.02325
1.00,5632.54,10.00,36.00,82.00,204.08,578.02,52.02,0.498266,3569.09,5923.27,2294.55,494.31,540.041,9.00,43.52,0.910343,3034.00,0.383333,2.747,69.9438,61.214,1.02398
1.00,5940.07,8.00,27.00,62.00,184.17,520.59,50.21,0.610157,2900.33,5900.9,2439.76,476.877,511.816,11.00,46.7748,0.875169,2505.00,0.521044,1.75107,82.61,68.8888,1.04708
1.00,3139.2,3.00,18.00,39.00,149.74,601.51,43.83,0.467571,2450.76,3827.66,1254.00,411.385,524.188,6.00,62.8346,0.886872,2259.00,0.505556,2.21187,71.2088,51.7541,1.03797
1.00,12634.7,4.00,17.00,38.00,284.84,277.58,71.88,0.38112,2970.1,4137.78,3488.6,279.583,333.305,4.00,78.1561,0.872459,2745.00,0.345098,2.27875,84.8222,68.2822,1.02779
1.00,3623.51,7.00,15.00,37.00,243.09,657.97,107.6,0.560445,2853.93,5274.59,1711.44,652.24,690.459,5.00,77.1281,0.907337,2246.00,0.533333,2.53833,67.2567,85.5448,1.02398
1.00,9777.98,9.00,16.00,41.00,207.83,309.44,38.81,0.525311,2455.77,4575.14,3150.83,253.451,278.562,5.00,59.8922,0.919681,2123.00,0.583333,2.17333,66.6888,60.9577,1.02209
1.00,4188.28,4.00,24.00,52.00,153.28,398.49,50.03,0.593982,2428.82,4830.27,1859.14,288.997,322.791,6.00,46.7027,0.902864,2118.00,0.36746,2.83389,70.4855,68.2896,1.02671
1.00,4336.33,5.00,20.00,45.00,204.68,458.19,74.98,0.310701,2578.91,2783.96,1273.86,355.507,425.97,6.00,57.304,0.918137,2167.00,0.438333,3.29167,69.891,54.3791,1.01834
1.00,6081.02,7.00,25.00,57.00,322.86,184.67,39.27,0.617099,2516.18,5223.21,2341.33,374.74,386.8,7.00,44.1384,0.888577,2140.00,0.399683,1.98656,81.1348,71.8359,1.03845
1.00,5796.91,6.00,25.00,56.00,361.44,220.54,89.13,0.387646,2647.59,3552.34,1775.67,337.608,346.141,5.00,47.2734,0.906417,2191.00,0.449905,2.44812,70.4026,57.6324,1.02804
1.00,6056.69,6.00,38.00,82.00,227.56,458.92,62.61,0.40955,3480.53,4846.92,2060.67,423.25,450.223,8.00,42.4405,0.914624,2931.00,0.451686,2.16771,78.8883,71.8568,1.02734
1.00,4074.84,6.00,37.00,80.00,187.11,451.08,55.55,0.513723,2841.57,4814.33,1718.66,422.923,454.222,10.00,35.514,0.899947,2403.00,0.538717,2.14767,76.2933,66.3928,1.0323
1.00,4461.75,8.00,27.00,62.00,198.91,451.94,59.01,0.357465,2870.16,3486.57,1411.04,362.051,383.608,7.00,46.2873,0.91888,2435.00,0.415226,2.45385,69.2489,57.2984,1.02447
1.00,4910.42,5.00,27.00,59.00,435.41,226.94,43.76,0.48427,3034.29,4950.87,1868.09,412.73,433.342,6.00,51.4231,0.889048,2847.00,0.39632,1.485,65.5523,56.1212,1.03706
1.00,1904.23,7.00,26.00,59.00,191.09,297.83,52.21,0.443543,2421.09,3518.24,888.025,327.223,333.463,4.00,41.0307,0.925249,2056.00,0.281136,1.782,77.0031,74.5261,1.02433
1.00,12865.8,8.00,21.00,50.00,189.45,391.38,47.73,0.683076,2624.13,6223.54,4221.89,342.318,375.769,6.00,52.477,0.870276,2181.00,0.395918,2.86111,68.3052,60.3959,1.04024
1.00,6414.1,7.00,33.00,73.00,398.37,215.06,55.1,0.496176,3273.07,5503.81,2432.68,353.603,417.112,7.00,44.8308,0.912545,2780.00,0.314885,2.42731,66.3496,65.5015,1.02496
1.00,6099.12,6.00,20.00,46.00,180.89,365.77,60.47,0.443077,2704.32,4067.69,1940.06,433.728,551.305,6.00,58.7852,0.761642,2173.00,0.453485,2.20214,60.4749,63.5217,1.08487
