class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
1,5206.71,7,26,59,176.68,595.4,167.36,0.581194,3608.01,6827.47,2441.47,637.768,667.148,14,61.1471,0.87697,2973,0.649038,2.66667,80.0337,79.1984,1.03641
1,2341.62,9,15,39,243.78,277.48,67.72,0.45375,2599.68,3895.4,1110.17,226.516,344.362,6,66.6538,0.867708,2206,0.6,2.395,87.1245,87.0988,1.04104
1,3421.59,8,22,52,194.18,505.19,47.39,0.615183,2638.38,5263.01,1684.02,487.944,554.133,11,50.7338,0.875848,2240,0.542208,1.936,79.4557,77.1277,1.03783
1,7851.57,4,18,40,378.58,436.88,62.4,0.578094,2981.37,5911.43,2991.49,356.002,451.815,9,74.529,0.891064,2570,0.61859,1.715,70.1209,65.8072,1.03372
1,5905.94,9,13,35,302.28,460.17,72.39,0.476837,3358.37,5381.97,2167.75,368.706,456.749,4,95.948,0.898601,2859,0.241758,1.21687,66.5947,77.3439,1.02531
1,5582.98,5,22,49,270.7,359.13,58.43,0.541488,3648.62,6517.9,2363.31,373.658,443.139,6,74.4565,0.892572,3154,0.502165,1.8775,76.9226,83.1317,1.03026
1,6695.96,6,21,48,220.5,322.47,95,0.535591,2966.82,5394.61,2559.87,294.069,389.694,7,61.804,0.864139,2361,0.420635,2.3885,81.555,75.4203,1.04217
1,7510.75,7,25,57,214.23,496.47,117.09,0.620119,3337.93,6890.63,3155.66,440.873,514.414,12,58.5551,0.902132,2759,0.482838,2.07611,80.5233,68.8334,1.02943
1,3704.06,7,34,75,192.25,322.6,26.64,0.451245,2905.25,4374.07,1493.21,293.735,320.448,6,38.7315,0.916082,2520,0.418627,2.19917,67.3587,58.4187,1.02389
1,3029.87,7,38,83,152.74,524.94,58.72,0.552214,3550.98,6299.09,1752.63,436.175,468.593,8,42.7777,0.920941,2923,0.471525,1.994,69.5515,62.0013,1.02187
1,2779.66,7,30,67,212.36,519.99,55.7,0.540262,3413.02,6018.24,1631.66,438.669,489.225,6,50.9352,0.918989,2961,0.281667,2.01267,65.4316,60.6715,1.02372
