class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
1,25350.1,1.00,14.00,29.00,268.46,387.08,115.23,1.04677,2516.3,9446.46,9246.55,425.807,492.68,7.00,86.7634,0.923376,702.00,0.57619,2.38937,67.7488,54.0138,1.02107
1,23571.9,1.00,21.00,43.00,179.37,286.44,113.27,0.939306,2448.19,7947.81,7740.29,347.163,386.519,9.00,56.9298,0.922577,730.00,0.501347,2.27,66.8844,52.7825,1.02193
1,32942.6,1.00,18.00,37.00,276.88,406.41,113.99,0.957359,2430.99,8857.02,10832.5,455.601,506.991,7.00,65.6973,0.914564,745.00,0.392979,2.64937,64.1653,55.5255,1.02441
1,23488.1,1.00,14.00,29.00,202.31,427.34,94.99,1.05708,1891.77,7059.52,7676.31,453.978,498.272,7.00,65.2279,0.919996,533.00,0.492063,2.976,62.2162,53.606,1.02491
1,17972.5,1.00,16.00,33.00,160.36,340.69,89.32,0.940568,2234.68,7207.73,6231.75,341.886,380.504,10.00,67.7109,0.924068,628.00,0.556981,3.065,63.7825,46.4308,1.02329
1,18556.6,1.00,12.00,25.00,242.07,464.6,114.98,0.986569,1970.87,6930.97,6388.53,439.154,495.151,5.00,78.8304,0.939758,600.00,0.505556,2.67,64.6688,61.1101,1.01716
1,26772.00,1.00,17.00,35.00,190.03,381.87,92.99,1.03394,1948.7,7422.59,8746.14,393.17,463.5,9.00,55.6717,0.907821,635.00,0.484075,2.998,68.0159,62.6681,1.02501
1,39288.7,1.00,24.00,49.00,190.16,481.49,102.00,0.923114,2702.54,9280.15,12044.8,451.812,511.072,9.00,55.1488,0.930031,884.00,0.537819,2.92875,65.2859,58.0323,1.02178
1,20104.4,1.00,28.00,57.00,335.97,368.97,106.99,0.90963,2910.23,9302.37,7298.92,377.892,454.306,13.00,51.0512,0.925951,1091.00,0.575857,2.87571,69.1019,54.9803,1.02077
1,20112.4,1.00,22.00,45.00,229.1,461.05,112.99,1.0647,2421.58,8955.74,7688.09,440.344,498.489,12.00,53.8082,0.933221,844.00,0.63709,2.31857,63.922,60.0864,1.01963
1,25784.4,1.00,23.00,47.00,144.03,287.33,98.29,1.01448,2337.98,8277.61,8454.01,339.682,357.243,10.00,49.7396,0.942224,738.00,0.509058,2.73364,64.387,52.5789,1.01887
1,29168.6,1.00,17.00,35.00,303.64,295.2,69.92,1.10442,2167.38,8549.04,9765.52,376.244,496.338,9.00,61.9211,0.936025,657.00,0.676018,2.34045,69.908,52.5268,1.01767
1,29490.7,1.00,28.00,57.00,233.22,340.53,101.99,1.17773,3496.25,14228.4,12101.7,424.121,481.646,9.00,61.3323,0.927387,1113.00,0.500834,2.96175,63.6533,49.4619,1.02061
1,13662.00,1.00,17.00,35.00,156.63,317.77,117.99,1.01092,2114.18,7294.15,5394.46,337.233,363.232,6.00,60.3997,0.921261,678.00,0.411765,2.3,65.2249,43.5422,1.02237
1,32789.7,1.00,15.00,31.00,167.96,277.96,84.28,1.36858,1641.46,8214.47,11185.8,329.683,354.322,9.00,52.9452,0.933703,454.00,0.652821,1.86643,62.88,64.8555,1.01621
1,27366.7,1.00,24.00,49.00,286.99,417.8,124.99,1.03703,3145.42,11532.7,10255.1,412.491,478.345,10.00,64.1876,0.909694,1021.00,0.456602,2.68433,62.6443,57.3491,1.02957
