class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
2,11015.7,1.00,19.00,39.00,196.19,407.74,24.00,0.671077,1493.23,3381.11,3180.9,362.057,420.536,13.00,38.2826,0.935766,376.00,0.587668,1.995,69.4375,57.3615,1.02082
2,10928.4,8.00,14.00,36.00,97.47,146.61,30.00,0.690122,1199.2,2728.45,3005.67,112.632,135.48,4.00,33.3064,0.918597,295.00,0.280952,2.975,69.8392,51.0658,1.0284
2,4518.58,8.00,4.00,16.00,124.00,159.52,30.00,0.782145,877.414,2143.56,1417.88,151.582,165.896,2.00,54.8338,0.874569,220.00,0.25,0.00,74.8609,68.2018,1.03444
2,7166.32,5.00,10.00,25.00,116.49,243.29,21.00,0.722347,935.409,2179.12,2022.79,152.548,182.775,4.00,37.4108,0.8926,242.00,0.62,0.00,79.7259,56.6438,1.03428
2,11244.5,1.00,13.00,27.00,149.57,244.22,45.00,0.891789,1306.12,3681.47,3355.23,270.883,319.465,7.00,48.37,0.907286,252.00,0.574592,1.73,71.5417,65.6769,1.02964
2,10163.3,6.00,8.00,22.00,106.89,189.6,33.00,0.724531,1024.62,2496.14,2801.97,125.027,158.012,2.00,46.5695,0.87574,286.00,0.5,0.00,66.7068,61.1064,1.03828
2,7296.6,5.00,22.00,49.00,145.7,229.89,30.00,0.614182,2402.15,4630.61,2388.61,177.565,200.638,6.00,49.019,0.885703,548.00,0.288636,2.1775,80.4714,48.2282,1.03653
2,6376.78,1.00,14.00,29.00,235.02,402.37,24.00,0.854493,1668.27,4353.38,2310.61,439.833,530.004,11.00,57.5217,0.943891,307.00,0.744156,3.95,65.3156,57.1738,1.01707
2,6152.22,1.00,8.00,17.00,153.53,387.86,15.00,0.929571,993.81,2785.35,1983.19,410.276,465.516,6.00,58.4559,0.940441,186.00,0.625,0.00,63.5472,52.1166,1.01731
2,6232.15,8.00,19.00,46.00,136.09,199.69,25.5,0.756442,1830.12,4234.17,2178.07,200.5,217.931,4.00,39.7807,0.935966,362.00,0.263158,3.06,80.918,73.8887,1.02044
2,7942.88,1.00,6.00,13.00,225.13,444.99,40.5,0.779718,1131.24,2771.46,2329.43,469.926,515.924,3.00,87.0138,0.922045,240.00,0.25,0.00,67.8389,34.2549,1.0253
2,1426.16,1.00,6.00,13.00,167.75,274.39,16.5,0.637038,679.482,1241.13,492.371,300.096,361.011,3.00,52.2638,0.955416,157.00,0.5,1.65,65.2805,62.543,1.01355
2,7610.85,1.00,8.00,17.00,106.11,222.56,24.00,0.785255,864.21,2126.19,2132.1,255.397,289.868,5.00,50.8324,0.954645,191.00,0.520833,0.00,56.6048,37.396,1.01378
2,25403.7,1.00,4.00,9.00,86.09,320.83,27.00,0.938804,599.706,2460.84,6567.19,339.238,381.268,3.00,66.6289,0.893705,184.00,0.75,1.465,74.5521,45.9009,1.04579
2,5837.1,1.00,7.00,15.00,214.57,294.5,30.00,0.823273,1030.64,2587.74,1811.45,331.532,404.695,4.00,68.7033,0.922846,213.00,0.6,0.00,76.7916,41.9356,1.01881
2,3022.6,1.00,13.00,27.00,137.81,365.14,24.00,0.781268,1053.65,2517.07,1134.25,383.373,436.246,7.00,39.02,0.923001,237.00,0.575758,0.00,64.2497,73.949,1.02252
2,9306.59,1.00,8.00,17.00,205.13,318.16,33.00,0.777938,1053.98,2544.36,2609.96,338.018,448.481,7.00,61.9947,0.895222,215.00,0.875,0.00,83.7779,57.0832,1.03213
2,6530.67,1.00,12.00,25.00,169.43,343.19,22.5,0.773725,1118.6,2773.75,2008.12,353.206,450.891,7.00,44.7388,0.926701,286.00,0.553968,0.00,76.354,81.0448,1.02192
2,9046.65,4.00,16.00,36.00,109.82,317.89,30.00,0.572057,1734.37,3390.53,2620.03,198.789,241.801,4.00,48.1728,0.87212,597.00,0.454167,1.605,71.9193,60.772,1.03903
2,7775.26,1.00,11.00,23.00,75.73,174.36,51.00,0.907487,963.662,2825.48,2387.47,135.727,194.622,8.00,41.8943,0.934514,238.00,0.681097,1.7375,81.3532,62.7407,1.03197
